,children,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,comp_primary,lum,HE,NEP,CE,CN,CJ,HN,HSE,JUP,SE,WJ,WN,WSE,I,II,III,IV,V,VI,...,:,+,0,1,2,3,4,5,6,7,8,9,A,B,C,E,F,G,K,N,M,RD,S,W,O,D,n,e
743,1.0,3.109809,-24.94585,7.0,5.15,-3.15,0.0,8.77,1.067,1.057,216.12664700000002,228.92444500000002,-146.444962,-7.84e-06,4.32e-06,-4.81e-06,0.8141460134691647,-0.4353872086267625,2.4967904548611108e-08,-1.5271629999999997e-08,14423.0,32.59867889044684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
744,1.0,3.174373,15.990504999999999,3.0,-3.48,48.03,0.0,7.9,2.57,0.34299999999999997,75.438699,82.661086,32.069613000000004,-3.58e-06,-6.84e-06,2.606e-05,0.8310488953742343,0.27908696449008746,-1.687151608333333e-08,2.3285601e-07,14715.0,8.165823713585922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,2.0,3.169737,-34.930237,7.0,46.19,54.51,0.0,8.14,1.3869999999999998,1.239,124.079834,135.628218,-128.38083,-1.414e-05,5.892e-05,4.857e-05,0.8298352504350917,-0.6096476466205513,2.2393543904861112e-07,2.6427193699999996e-07,14687.0,24.27727847680997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
746,1.0,3.287747,65.119675,4.0,-6.03,0.46,0.0,8.04,-0.298,1.335,127.56445,148.39211,421.948179,9.7e-06,-9.58e-06,4.4e-07,0.8607301092001818,1.1365527385137424,-2.9234264937500007e-08,2.230142e-09,15251.0,114.6040591136603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
747,1.0,3.39532,51.770362,7.0,23.15,-25.5,-12.0,7.89,1.994,0.073,58.915578000000004,72.572785,118.661078,-8.7e-06,1.618e-05,-2.12e-05,0.8888927220507117,0.90356327425948,1.1223436704861113e-07,-1.2362748800000002e-07,15775.0,13.880336665672347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,1.0,3.464228,20.925159,4.0,7.3,-28.79,-6.4,7.85,1.3230000000000002,1.129,116.26806100000002,148.620627,72.151128,-3.19e-06,7.52e-06,-2.867e-05,0.9069326586747384,0.3652129296937425,3.539139868055557e-08,-1.39577858e-07,16094.0,25.751349904103147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
749,1.0,3.4843900000000003,3.248704,7.0,-2.39,7.27,0.0,6.41,0.55,0.79,90.78975,117.32360600000001,8.420536,1.18e-06,-1.29e-06,5.23e-06,0.9122111056133392,0.0567005854020975,-1.1587046965277777e-08,3.5245954e-08,16185.0,52.48074602497726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
750,1.0,3.5569830000000002,-4.384507,4.0,71.61,-109.34,0.0,8.65,3.7969999999999997,0.812,55.617914,74.766159,-7.144802,-2.829e-05,1.633e-05,-4.939e-05,0.9312160867819208,-0.0765240813336825,3.471750766458333e-07,-5.300952779999999e-07,16538.0,2.6375457408893435,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
751,1.0,3.687098,75.399034,4.0,94.08,-136.65,-4.7,9.46,6.093999999999999,1.1,6.761611,9.767609,45.60344,-1.17e-06,3.608e-05,-1.252e-05,0.9652799909862184,1.3159613891434274,4.561127106666666e-07,-6.62497894e-07,17171.0,0.31798014276915243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
752,1.0,3.6161410000000003,-28.131456,2.0,-72.58,-243.48,0.0,8.86,5.487,0.73,24.365467000000002,33.835925,-22.292949,-1.88e-06,-3.107e-05,-4.921e-05,0.9467036080695184,-0.4909865267130537,-3.518777693472222e-07,-1.180424349e-06,16819.0,0.5561603195975923,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
753,1.0,3.903799,-0.140052,4.0,-6.83,-26.36,0.0,9.57,2.665,0.53,125.396345,205.085756,-0.587587,6.75e-06,-4.22e-06,-3.072e-05,1.0220120772632242,-0.0024443652227525,-3.3112774381944435e-08,-1.27796886e-07,18206.0,7.4816950051115425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
754,1.0,3.916283,-14.905922,5.0,4.97,-13.21,0.0,7.11,-1.3419999999999999,1.71,245.783946,404.947721,-126.094453,-1.429e-05,-7.7e-07,-3.034e-05,1.0252805178333493,-0.2601574153840113,2.4095239923611107e-08,-6.4043887e-08,18273.0,299.77816715823843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
