75,BD+48 738,Flags(),System('BD+48 738'),K0III,,K,0,III,4414.0 K,11.0 R_s,,0.74 M_s,-0.2,"['TYC 3304-323-1', 'SAO 38269', '2MASS J02425045+4935130', 'Gaia DR2 438899345022759424']",,10.35,6.077,,6.704,5.904,9.139,,,,892.1 pc,NaN,40d42m36.9645s,49d35m13.0796s,System('BD+48 738'),[Planet('BD+48 738 b')],[]
733,HD 216536,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 216536'),K0,3.8 Gyr,K,0,III,4639.0 K,12.5 R_s,,1.36 M_s,-0.17,"['BD+43 4329', 'GSC 03227-00413', 'TYC 3227-413-1', '2MASS J22530398+4428399', 'Gaia DR2 1935534781542402176']",10.5,10.42,6.636,NaN,7.172,6.496,9.23,7.21,7.28,,380.3 pc,NaN,343d15m59.5875s,44d28m39.8755s,System('HD 216536'),[Planet('HD 216536 b')],[]
627,HD 17092,Flags(),System('HD 17092'),K0III,,K,0,III,4650.0 K,,,2.3 M_s,0.18,"['Gaia DR2 438865809918353280', 'TYC 3304-101-1']",,9,5.007,,5.53,4.807,7.73,,,,109.0 pc,NaN,41d35m31.767s,49d39m11.0948s,System('HD 17092'),[Planet('HD 17092 b')],[]
52,91 Aquarii A,Flags(),System('91 Aquarii'),K0 III,3.56 Gyr,K,0,III,4665.0 K,11.0 R_s,,1.4 M_s,-0.03,"['91 Aqr A', 'psi01 Aqr A', 'Psi-1 Aquarii A', 'ψ1 Aqr A', 'ψ1 Aquarii A', 'HD 219449 A', 'HIP 114855 A', 'Gliese 893.2 A', 'GJ 893.2 A', 'GJ 9815 A', 'BD-09 6156 A', 'WDS J23159-0905 A']",,5.32,1.886,2.9,2.4,1.746,4.24,,,,45.93 pc,NaN,NaN,NaN,Binary('91 Aquarii'),[Planet('91 Aquarii A b')],[]
873,HD 62509,Flags(),System('HD 62509'),K0IIIb,,K,0,III,4666.0 K,9.3 R_s,,1.47 M_s,0.19,"['Pollux', 'Beta Geminorum', 'Beta Gem', 'HIP 37826', 'TYC 1920-2194-1', 'GJ 286']",,2.15,,0.2,,,1.15,,,,10.34 pc,NaN,116d19m30s,28d01m34s,System('HD 62509'),[Planet('HD 62509 b')],[]
954,HD 96992,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magB', 'Estimated magK', 'Estimated magH', 'Estimated magJ')",System('HD 96992'),K0,,K,0,III,4725.0 K,7.43 R_s,,0.96 M_s,-0.45,[],9.87,9.42,6.72,NaN,7.17,6.64,8.6,6.58,6.65,,401.6 pc,NaN,167d35m45s,43d55m08s,System('HD 96992'),[Planet('HD 96992 b')],[]
3170,omi CrB,Flags(),System('omi CrB'),K0 III,,K,0,III,4749.0 K,10.5 R_s,,2.13 M_s,-0.29,"['Omicron Coronae Borealis', 'ο CrB', 'ο Coronae Borealis', '1 Coronae Borealis', '1 CrB', 'HD 136512', 'HR 5709', 'HIP 75049', 'TYC 2031-1389-1', 'SAO 83768', 'BD+30 2647', '2MASS J15200853+2936584', 'Gaia DR2 1275235752223276288']",,6.53,3.169,,3.651,3.13,5.51,,,,82.8 pc,NaN,230d02m08.3818s,29d36m58.3488s,System('omi CrB'),[Planet('omi CrB b')],[]
913,HD 81688,Flags(),System('HD 81688'),K0III-IV,,K,0,III,4753.0 K,13.0 R_s,,2.1 M_s,-0.359,"['HIP 46471', 'TYC 3425-1596-1', 'SAO 42876', 'HR 3743', 'BD+46 1509', 'Gaia DR2 818464227945910016', 'Intercrus']",,6.396,3.27,,3.8,3.06,5.413,,,,85.8 pc,NaN,142d09m59.826s,45d36m05.3344s,System('HD 81688'),[Planet('HD 81688 b')],[]
566,HD 145457,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 145457'),K0,,K,0,III,4757.0 K,9.9 R_s,,1.9 M_s,-0.14,"['TYC 2038-1873-1', 'Gaia DR2 1315900158983769472', 'HIP 79219', 'Kamuy']",7.84,7.61,4.418,NaN,5,4.122,6.57,4.55,4.62,,126.0 pc,NaN,242d30m58.7145s,26d44m33.8937s,System('HD 145457'),[Planet('HD 145457 b')],[]
3498,xi Aql,Flags(),System('xi Aql'),K0 III,,K,0,III,4780.0 K,12.0 R_s,,2.2 M_s,-0.205,"['Xi Aquiliae', 'ksi Aql', 'ξ Aql', 'ξ Aquilae', '59 Aql', '59 Aquilae', 'HR 7595', 'HD 188310', 'HIP 97938', 'TYC 1058-3400-1', 'SAO 125210', 'BD+08 4261', '2MASS J19541489+0827414', 'Libertas', 'Gaia DR2 4298361114750843904']",,5.769,2.367,,2.852,2.171,4.722,,,,62.7 pc,NaN,298d33m43.2276s,8d27m41.2299s,System('xi Aql'),[Planet('xi Aql b')],[]
