,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
3061,197d59m53.403s,,,65d50m01.7034s,36.05 pc,[Star('TOI-1266')],,TOI-1266,[Star('TOI-1266')],Flags()
3062,338d24m00s,,,-43d26m12s,164.47 pc,[Star('TOI-132')],,TOI-132,[Star('TOI-132')],Flags()
3063,325d01m00s,,,48d24m25s,200.4 pc,[Star('TOI-1333')],,TOI-1333,[Star('TOI-1333')],Flags()
3064,92d08m00s,,,-59d32m28s,403.66 pc,[Binary('TOI-1338')],,TOI-1338,[Binary('TOI-1338')],Flags()
3065,126d26m00s,,,-13d33m35s,153.0 pc,[Star('TOI-1478')],,TOI-1478,[Star('TOI-1478')],Flags()
3066,112d58m00s,,,-73d36m22s,336.0 pc,[Star('TOI-150')],,TOI-150,[Star('TOI-150')],Flags()
3067,73d42m00s,,,-76d40m50s,362.1 pc,[Star('TOI-157')],,TOI-157,[Star('TOI-157')],Flags()
3068,38d21m45s,,,41d00m48s,336.0 pc,[Star('TOI-1601')],,TOI-1601,[Star('TOI-1601')],Flags()
3069,79d46m00s,,,-71d53m44s,416.5 pc,[Star('TOI-163')],,TOI-163,[Star('TOI-163')],Flags()
3070,16d46m45s,,,-75d11m56s,412.5 pc,[Star('TOI-169')],,TOI-169,[Star('TOI-169')],Flags()
3071,120d36m45s,,,64d47m49s,60.8 pc,[Star('TOI-1728')],,TOI-1728,[Star('TOI-1728')],Flags()
3072,316d38m00s,,,-26d41m34s,336.47 pc,[Star('TOI-172')],,TOI-172,[Star('TOI-172')],Flags()
3073,7d18m00s,,,-30d27m13s,63.0 pc,[Star('TOI-178')],,TOI-178,[Star('TOI-178')],Flags()
3074,299d25m30s,,,40d08m36s,128.4 pc,[Star('TOI-1899')],,TOI-1899,[Star('TOI-1899')],Flags()
3075,73d58m45s,,,-63d15m36s,178.84 pc,[Star('TOI-216')],,TOI-216,[Star('TOI-216')],Flags()
3076,353d14m30s,,,-29d24m54s,38.11 pc,[Star('TOI-237')],,TOI-237,[Star('TOI-237')],Flags()
3077,353d03m45s,,,-37d15m21s,99.52 pc,[Star('TOI-251')],,TOI-251,[Star('TOI-251')],Flags()
3078,68d25m00s,,,-51d57m22s,22.45 pc,[Star('TOI-270')],,TOI-270,[Star('TOI-270')],Flags()
3079,81d51m12.387s,,,-14d16m37.0473s,74.94 pc,[Star('TOI-421')],,TOI-421,[Star('TOI-421')],Flags()
3080,62d58m00s,,,-37d56m23s,123.74 pc,[Binary('TOI-451')],,TOI-451,[Binary('TOI-451')],Flags()
3081,110d30m44.931s,,,-57d23m05.5994s,180.29 pc,[Star('TOI-481')],,TOI-481,[Star('TOI-481')],Flags()
3082,76d18m36s,,,-47d56m15.5s,14.0078 pc,[Star('TOI-540')],,TOI-540,[Star('TOI-540')],Flags()
3083,148d11m00s,,,6d12m58s,85.8 pc,[Star('TOI-561')],,TOI-561,[Star('TOI-561')],Flags()
3084,130d17m45s,,,-16d02m11s,197.4 pc,[Star('TOI-564')],,TOI-564,[Star('TOI-564')],Flags()
3085,99d15m45s,,,1d46m03s,178.5 pc,[Star('TOI-628')],,TOI-628,[Star('TOI-628')],Flags()
3086,99d44m00s,,,-36d38m46s,341.9 pc,[Star('TOI-640')],,TOI-640,[Star('TOI-640')],Flags()
3087,233d04m27.6s,,,-22d21m29.74s,142.5 pc,[Star('TOI-677')],,TOI-677,[Star('TOI-677')],Flags()
3088,97d05m45s,,,-65d34m46s,31.07 pc,[Star('TOI-700')],,TOI-700,[Star('TOI-700')],Flags()
3089,194d28m00s,,,-39d45m28s,95.39 pc,[Star('TOI-763')],,TOI-763,[Star('TOI-763')],Flags()
3090,178d34m30s,,,-37d33m10s,27.19 pc,[Star('TOI-776')],,TOI-776,[Star('TOI-776')],Flags()
3091,72d41m45s,,,-60d54m20s,265.15 pc,[Star('TOI-813')],,TOI-813,[Star('TOI-813')],Flags()
3092,222d10m00s,,,-57d35m20s,63.71 pc,[Star('TOI-824')],,TOI-824,[Star('TOI-824')],Flags()
3093,157d02m14.8575s,,,-64d30m18.9337s,143.08 pc,[Star('TOI-837')],,TOI-837,[Star('TOI-837')],Flags()
3094,28d43m00s,,,-29d25m18s,224.9 pc,[Star('TOI-849')],,TOI-849,[Star('TOI-849')],Flags()
3095,86d44m15s,,,-11d14m07s,343.84 pc,[Star('TOI-892')],,TOI-892,[Star('TOI-892')],Flags()
3096,227d39m30s,,,-17d21m42s,150.2 pc,[Star('TOI-905')],,TOI-905,[Star('TOI-905')],Flags()
3097,76d39m00s,,,-20d14m44s,,[Star('TOI-942')],,TOI-942,[Star('TOI-942')],Flags()
3098,61d56m30s,,,-25d12m32s,235.74 pc,[Star('TOI-954')],,TOI-954,[Star('TOI-954')],Flags()
3099,346d37m20.5261s,,,-5d02m29.0317s,12.43 pc,[Star('TRAPPIST-1')],,TRAPPIST-1,[Star('TRAPPIST-1')],Flags()
3100,286d02m27.774s,,,36d37m57.4459s,157.0 pc,[Star('TrES-1')],,TrES-1,[Star('TrES-1')],Flags()
3101,286d48m30s,,,49d18m59s,213.0 pc,[Binary('TrES-2')],,TrES-2,[Binary('TrES-2')],Flags()
3102,268d01m45.2775s,,,37d32m46.237s,400.0 pc,[Star('TrES-3')],,TrES-3,[Star('TrES-3')],Flags()
