,alt_names,flags,system,names,list,separation,position_angle,mass,magUltraviolet,magBlue,magH_nearinf,magInfared,magJ_nearinf,magK_nearinf,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,inclination,parent_obj,child_obj,stars,period,semi_major_axis,eccentricity,longitude,ascending_node
89,['BD+41 3845'],Flags(lculated Period'),System('HD 197037'),HD 197037,[],118.7 au,182.14,,,,,,,,,,,,32.3 pc,,,,,System('HD 197037'),"[Star('HD 197037 A'), Star('HD 197037 B')]","[Star('HD 197037 A'), Star('HD 197037 B')]",,,,,
90,[],Flags(lculated Period'),System('HD 19994'),,[],,,,,,,,,,,,,,22.38 pc,,,,,System('HD 19994'),"[Star('HD 19994 A'), Star('HD 19994 B')]","[Star('HD 19994 A'), Star('HD 19994 B')]",,120,0.26,,
91,[],Flags(lculated Period'),System('HD 202772 A'),,[],,,,,,,,,,,,,,147.2 pc,,,,,System('HD 202772 A'),"[Star('HD 202772 B'), Star('HD 202772 A')]","[Star('HD 202772 B'), Star('HD 202772 A')]",,200,,,
92,[],Flags(lculated Period'),System('HD 20782'),WDS J03201-2851,[],8980.0 au,358.11,,,,,,,,,,,,35.49 pc,,,,,System('HD 20782'),"[Star('HD 20782'), Star('HD 20781')]","[Star('HD 20782'), Star('HD 20781')]",,,,,
93,[],Flags(lculated Period'),System('HD 213240'),,[],3904.0 au,127,,,,,,,,,,,,40.75 pc,,,,,System('HD 213240'),"[Star('HD 213240 A'), Star('HD 213240 C')]","[Star('HD 213240 A'), Star('HD 213240 C')]",,,,,
94,['BD-01 4382'],Flags(lculated Period'),System('HD 217786'),HD 217786,[],156.8 au,170.34,,,,,,,,,,,,54.9 pc,,,,,System('HD 217786'),"[Star('HD 217786 A'), Star('HD 217786 B')]","[Star('HD 217786 A'), Star('HD 217786 B')]",,,,,
95,[],Flags(lculated Period'),System('HD 222582'),,[],4746.0 au,302,,,,,,,,,,,,42.0 pc,,,,,System('HD 222582'),"[Star('HD 222582 A'), Star('HD 222582 B')]","[Star('HD 222582 A'), Star('HD 222582 B')]",,,,,
96,[],Flags(lculated Period'),System('HD 2638'),HD 2638 BC,[],28.5 au,166.7,,,,,,,,,,,,53.71 pc,,,,,Binary('WDS J00293-0555'),"[Star('HD 2638'), Star('HD 2638 C')]","[Star('HD 2638'), Star('HD 2638 C')]",,,,,
97,[],Flags(lculated Period'),System('HD 2638'),WDS J00293-0555,[],48000.0 au,51,,,,,,,,,,,,53.71 pc,,,,,System('HD 2638'),"[Binary('HD 2638 BC'), Star('HD 2567')]","[Binary('HD 2638 BC'), Star('HD 2567')]",,,,,
98,"['40 Eridani BC', 'omi02 Eri BC', 'Omicron-2 Eridani BC', 'ο2 Eri BC', 'ο2 Eridani BC', 'Gliese 166 BC', 'Gl 166 BC', 'GJ 166 BC', 'WDS J04153-0739 BC']",Flags(),System('HD 26965'),40 Eri BC,[],,,,,,,,,,,,,,4.98 pc,318.2 deg,,,107.53,Binary('40 Eri'),"[Star('40 Eri B'), Star('40 Eri C')]","[Star('40 Eri B'), Star('40 Eri C')]",84040,34.54,0.4300,,151.44
