,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
2888,,4990.0 K,0.02,"['KOI-1797', 'KIC 10676014', '2MASS J19432625+4756222', 'Gaia DR2 2080657740749601792']",0.82 M_s,,,10.945,,11.409,10.84,,,,,217.165 pc,,295d51m33.7815s,47d56m22.2669s,System('Kepler-954'),[Planet('Kepler-954 b')],[],Cold Super-Earth,,,,,,,,,Kepler-954,Flags(),System('Kepler-954'),0.76 R_s,,,,,
2889,,5350.0 K,0.02,"['KOI-1801', 'KIC 5088591', '2MASS J19135314+4016112', 'Gaia DR2 2101305469605609088']",0.89 M_s,,,12.854,,13.269,12.807,,,,,559.19 pc,,288d28m17.2665s,40d16m11.2571s,System('Kepler-955'),[Planet('Kepler-955 b')],[],Cold Neptune,,,,,,,,,Kepler-955,Flags(),System('Kepler-955'),0.84 R_s,,,,,
2890,,6040.0 K,0.02,"['KOI-1802', 'KIC 11298298', '2MASS J19300739+4903421', 'Gaia DR2 2129703552846891136']",1.1 M_s,,,11.97,,12.284,11.958,,,,,553.649 pc,,292d31m51.0045s,49d03m42.227s,System('Kepler-956'),[Planet('Kepler-956 b')],[],Warm Super-Earth,,,,,,,,,Kepler-956,Flags(),System('Kepler-956'),1.15 R_s,,,,,
2891,,4963.0 K,-0.01,"['KOI-1804', 'KIC 11187436', '2MASS J19203752+4849083', 'Gaia DR2 2129576559253685632']",0.81 M_s,,,13.642,,14.061,13.45,,,,,844.381 pc,,290d09m22.839s,48d49m08.3452s,System('Kepler-957'),[Planet('Kepler-957 b')],[],Warm Neptune,,,,,,,,,Kepler-957,Flags(),System('Kepler-957'),0.75 R_s,,,,,
2892,,5421.0 K,0.01,"['KOI-1813', 'KIC 9455325', '2MASS J19090160+4604003', 'Gaia DR2 2130326460543631360']",0.91 M_s,,,,,,,,,,,455.685 pc,,287d15m24.072s,46d04m00.3804s,System('Kepler-958'),[Planet('Kepler-958 b')],[],Warm Super-Earth,,,,,,,,,Kepler-958,Flags(),System('Kepler-958'),0.86 R_s,,,,,
2893,,7005.0 K,0.02,"['KOI-1814', 'KIC 5621125', '2MASS J19284108+4048409', 'Gaia DR2 2053574639053629952']",1.6 M_s,,,,,,,,,,,826.788 pc,,292d10m16.2465s,40d48m40.9814s,System('Kepler-959'),[Planet('Kepler-959 b')],[],Warm Neptune,,,,,,,,,Kepler-959,Flags(),System('Kepler-959'),2.01 R_s,,,,,
2894,,5699.0 K,0.3,"['KOI-122', 'KIC 8349582', '2MASS J18575579+4423529', 'Gaia DR2 2106705269988803072']",1.08 M_s,,,10.867,,11.21,10.801,,,,,456.3 pc,,284d28m56.8275s,44d23m52.817s,System('Kepler-95'),[Planet('Kepler-95 b')],[],Warm Neptune,,,,,,,,,Kepler-95,Flags(),System('Kepler-95'),1.41 R_s,5.63 Gyr,,,,
2895,,4755.0 K,0.02,"['KOI-1815', 'KIC 9872283', '2MASS J18454971+4644472', 'Gaia DR2 2119194936102585472']",0.77 M_s,,,,,,,,,,,287.274 pc,,281d27m25.956s,46d44m47.293s,System('Kepler-960'),[Planet('Kepler-960 b')],[],Warm Super-Earth,,,,,,,,,Kepler-960,Flags(),System('Kepler-960'),0.72 R_s,,,,,
2896,,5582.0 K,0.05,"['KOI-1818', 'KIC 7870032', '2MASS J18480851+4337525', 'Gaia DR2 2105262886829784960']",0.96 M_s,,,,,,,,,,,583.976 pc,,282d02m07.7745s,43d37m52.509s,System('Kepler-961'),[Planet('Kepler-961 b')],[],Cold Super-Earth,,,,,,,,,Kepler-961,Flags(),System('Kepler-961'),0.9 R_s,,,,,
2897,,5478.0 K,0.01,"['KOI-1819', 'KIC 9597058', '2MASS J19411515+4614149', 'Gaia DR2 2080453025427246848']",0.93 M_s,,,,,,,,,,,416.441 pc,,295d18m47.3415s,46d14m14.9841s,System('Kepler-962'),[Planet('Kepler-962 b')],[],Cold Super-Earth,,,,,,,,,Kepler-962,Flags(),System('Kepler-962'),0.86 R_s,,,,,
2898,,5461.0 K,-0.02,"['KOI-1821', 'KIC 8832512', '2MASS J19470071+4502279', 'Gaia DR2 2079728790863754752']",0.91 M_s,,,,,,,,,,,788.83 pc,,296d45m10.698s,45d02m28.018s,System('Kepler-963'),[Planet('Kepler-963 b')],[],Warm Super-Earth,,,,,,,,,Kepler-963,Flags(),System('Kepler-963'),0.87 R_s,,,,,
2899,,5427.0 K,0.03,"['KOI-1825', 'KIC 5375194', '2MASS J19411202+4033237', 'Gaia DR2 2076589960045421184']",0.93 M_s,,,,,,,,,,,460.617 pc,,295d18m00.231s,40d33m23.6991s,System('Kepler-964'),[Planet('Kepler-964 b')],[],Cold Super-Earth,,,,,,,,,Kepler-964,Flags(),System('Kepler-964'),0.84 R_s,,,,,
2900,,5886.0 K,0.03,"['KOI-1826', 'KIC 6468138', '2MASS J19540368+4153283', 'Gaia DR2 2075412451819530624']",1.05 M_s,,,,,,,,,,,592.733 pc,,298d30m55.149s,41d53m28.3224s,System('Kepler-965'),[Planet('Kepler-965 b')],[],Cold Neptune,,,,,,,,,Kepler-965,Flags(),System('Kepler-965'),1.15 R_s,,,,,
2901,,5840.0 K,0.04,"['KOI-1828', 'KIC 11875734', '2MASS J19490493+5007185', 'Gaia DR2 2087263361789975040']",1.02 M_s,,,,,,,,,,,1058.87 pc,,297d16m14.1555s,50d07m18.5492s,System('Kepler-966'),[Planet('Kepler-966 b')],[],Cold Neptune,,,,,,,,,Kepler-966,Flags(),System('Kepler-966'),1.02 R_s,,,,,
2902,,5178.0 K,-0.03,"['KOI-1830', 'KIC 3326377', '2MASS J19061393+3824193', 'Gaia DR2 2099980111415659776']",0.84 M_s,,,,,,,,,,,372.176 pc,,286d33m29.0745s,38d24m19.1779s,System('Kepler-967'),"[Planet('Kepler-967 b'), Planet('Kepler-967 c')]",[],Cold Super-Earth,Cold Neptune,,,,,,,,Kepler-967,Flags(),System('Kepler-967'),0.8 R_s,,,,,
2903,,4598.0 K,0.13,"['KOI-1833', 'KIC 11853878', '2MASS J19022460+5006433', 'Gaia DR2 2132152474478407040']",0.76 M_s,,,11.971,,12.518,11.831,,,,,292.774 pc,,285d36m09.435s,50d06m43.3132s,System('Kepler-968'),"[Planet('Kepler-968 b'), Planet('Kepler-968 c')]",[],Warm Super-Earth,Cold Super-Earth,,,,,,,,Kepler-968,Flags(),System('Kepler-968'),0.7 R_s,,,,,
2904,,5214.0 K,0.22,"['KOI-1837', 'KIC 10657406', '2MASS J19132940+4756008', 'Gaia DR2 2130979570450326912']",0.92 M_s,,,11.976,,12.413,11.897,,,,,394.804 pc,,288d22m20.952s,47d56m00.8084s,System('Kepler-969'),"[Planet('Kepler-969 b'), Planet('Kepler-969 c')]",[],Cold Super-Earth,Warm Super-Earth,,,,,,,,Kepler-969,Flags(),System('Kepler-969'),0.82 R_s,,,,,
2905,,5690.0 K,0.04,"['KOI-261', 'KIC 5383248', '2MASS J19481670+4031304', 'Gaia DR2 2073731161099713408', 'TYC 3140-604-1']",1.0 M_s,,11.25,8.928,,9.26,8.868,10.57,,,,128.0 pc,,297d04m10.704s,40d31m30.5223s,System('Kepler-96'),[Planet('Kepler-96 b')],[],Warm Neptune,,,,,,,,,Kepler-96,Flags(),System('Kepler-96'),1.02 R_s,2.34 Gyr,,,,
2906,,4511.0 K,-0.08,"['KOI-1838', 'KIC 5526527', '2MASS J19183005+4042314', 'Gaia DR2 2101379205604338688']",0.7 M_s,,,,,,,,,,,334.739 pc,,289d37m30.8445s,40d42m31.4197s,System('Kepler-970'),[Planet('Kepler-970 b')],[],Cold Super-Earth,,,,,,,,,Kepler-970,Flags(),System('Kepler-970'),0.67 R_s,,,,,
2907,,5431.0 K,-0.06,"['KOI-1839', 'KIC 5856571', '2MASS J18562270+4110581', 'Gaia DR2 2103712163117363200']",0.88 M_s,,,,,,,,,,,341.67 pc,,284d05m40.4895s,41d10m58.08s,System('Kepler-971'),[Planet('Kepler-971 b')],[],Warm Super-Earth,,,,,,,,,Kepler-971,Flags(),System('Kepler-971'),0.85 R_s,,,,,
2908,,6146.0 K,0.04,"['KOI-1840', 'KIC 7765528', '2MASS J19431888+4325317', 'Gaia DR2 2078038738412342656']",1.15 M_s,,,,,,,,,,,1239.77 pc,,295d49m43.2855s,43d25m31.6803s,System('Kepler-972'),[Planet('Kepler-972 b')],[],Warm Neptune,,,,,,,,,Kepler-972,Flags(),System('Kepler-972'),1.22 R_s,,,,,
2909,,5213.0 K,-0.06,"['KOI-1841', 'KIC 11760231', '2MASS J19203966+4955259', 'Gaia DR2 2130024026126714880']",0.86 M_s,,,,,,,,,,,331.576 pc,,290d09m55.0215s,49d55m25.9596s,System('Kepler-973'),[Planet('Kepler-973 b')],[],Cold Super-Earth,,,,,,,,,Kepler-973,Flags(),System('Kepler-973'),0.78 R_s,,,,,
2910,,4897.0 K,0.07,"['KOI-1845', 'KIC 3338885', '2MASS J19221165+3829430', 'Gaia DR2 2052826318309391104']",0.8 M_s,,,,,,,,,,,431.369 pc,,290d32m54.7095s,38d29m42.9959s,System('Kepler-975'),[Planet('Kepler-975 b')],[],Warm Super-Earth,,,,,,,,,Kepler-975,Flags(),System('Kepler-975'),0.75 R_s,,,,,
2911,,5232.0 K,0.07,"['KOI-1846', 'KIC 9886255', '2MASS J19192871+4643469', 'Gaia DR2 2127721958016074368']",0.87 M_s,,,,,,,,,,,1042.1 pc,,289d52m10.7775s,46d43m46.9712s,System('Kepler-976'),[Planet('Kepler-976 b')],[],Cold Neptune,,,,,,,,,Kepler-976,Flags(),System('Kepler-976'),0.83 R_s,,,,,
2912,,5315.0 K,-0.01,"['KOI-1847', 'KIC 6776401', '2MASS J19260389+4214535', 'Gaia DR2 2101760014585798528']",0.87 M_s,,,,,,,,,,,578.168 pc,,291d30m58.38s,42d14m53.4412s,System('Kepler-977'),[Planet('Kepler-977 b')],[],Cold Super-Earth,,,,,,,,,Kepler-977,Flags(),System('Kepler-977'),0.83 R_s,,,,,
2913,,6002.0 K,-0.01,"['KOI-1848', 'KIC 7430034', '2MASS J19065057+4302364', 'Gaia DR2 2105597825559486336']",1.07 M_s,,,12.075,,12.363,12.011,,,,,,,286d42m38.6625s,43d02m36.3092s,System('Kepler-978'),[Planet('Kepler-978 b')],[],Cold Super-Earth,,,,,,,,,Kepler-978,Flags(timated magV'),System('Kepler-978'),1.09 R_s,,,,,
2914,,5310.0 K,-0.02,"['KOI-1849', 'KIC 9735426', '2MASS J20012910+4624297', 'Gaia DR2 2085337502756644224']",0.87 M_s,,,12.794,,13.257,12.73,,,,,586.166 pc,,300d22m16.53s,46d24m29.6593s,System('Kepler-979'),[Planet('Kepler-979 b')],[],Warm Super-Earth,,,,,,,,,Kepler-979,Flags(),System('Kepler-979'),0.83 R_s,,,,,
2915,,5779.0 K,-0.2,"['KOI-292', 'KIC 11075737', '2MASS J19091838+4840243', 'Gaia DR2 2131216137248338304']",0.94 M_s,,,11.408,,11.744,11.345,,,,,414.4 pc,,287d19m35.814s,48d40m24.3654s,System('Kepler-97'),"[Planet('Kepler-97 b'), Planet('Kepler-97 c')]",[],Warm Super-Earth,Cold Jupiter,,,,,,,,Kepler-97,Flags(),System('Kepler-97'),0.98 R_s,8.42 Gyr,,,,
2916,,5935.0 K,0.01,"['KOI-1850', 'KIC 8826168', '2MASS J19382712+4503366', 'Gaia DR2 2079902101382181248']",1.05 M_s,,,12.714,,13.022,12.665,,,,,988.631 pc,,294d36m46.8135s,45d03m36.6187s,System('Kepler-980'),[Planet('Kepler-980 b')],[],Warm Super-Earth,,,,,,,,,Kepler-980,Flags(),System('Kepler-980'),1.06 R_s,,,,,
2917,,5718.0 K,0.01,"['KOI-1851', 'KIC 10464050', '2MASS J19165973+4739003', 'Gaia DR2 2127914132032810112']",0.98 M_s,,,13.272,,13.574,13.169,,,,,900.82 pc,,289d14m56.049s,47d39m00.3542s,System('Kepler-981'),[Planet('Kepler-981 b')],[],Warm Super-Earth,,,,,,,,,Kepler-981,Flags(),System('Kepler-981'),0.96 R_s,,,,,
2918,,6139.0 K,0.05,"['KOI-1852', 'KIC 9763348', '2MASS J19134024+4635255', 'Gaia DR2 2130393938771375104']",1.16 M_s,,,11.957,,12.203,11.895,,,,,820.277 pc,,288d25m03.6705s,46d35m25.5676s,System('Kepler-982'),[Planet('Kepler-982 b')],[],Warm Super-Earth,,,,,,,,,Kepler-982,Flags(),System('Kepler-982'),1.29 R_s,,,,,
2919,,6052.0 K,0.12,"['KOI-1853', 'KIC 8804397', '2MASS J19002497+4500294']",1.13 M_s,,14.15,12.156,,12.456,12.169,13.53,,,,,,285d06m14.6415s,45d00m29.287s,System('Kepler-983'),[Planet('Kepler-983 b')],[],Cold Super-Earth,,,,,,,,,Kepler-983,Flags(),System('Kepler-983'),1.08 R_s,,,,,
2920,,5610.0 K,0.04,"['KOI-1854', 'KIC 9662811', '2MASS J19475012+4623388', 'Gaia DR2 2080314315164334464']",0.96 M_s,,,11.914,,12.247,11.83,,,,,466.374 pc,,296d57m31.9395s,46d23m38.8524s,System('Kepler-984'),[Planet('Kepler-984 b')],[],Cold Super-Earth,,,,,,,,,Kepler-984,Flags(),System('Kepler-984'),0.93 R_s,,,,,
2921,,5434.0 K,0.0,"['KOI-1858', 'KIC 8160953', '2MASS J19203463+4402598', 'Gaia DR2 2126878048483137152']",0.91 M_s,,,,,13.537,13.019,,,,,692.857 pc,,290d08m39.6255s,44d02m59.7058s,System('Kepler-985'),[Planet('Kepler-985 b')],[],Cold Super-Earth,,,,,,,,,Kepler-985,Flags(),System('Kepler-985'),0.85 R_s,,,,,
2922,,5642.0 K,0.04,"['KOI-1862', 'KIC 7286173', '2MASS J19322256+4253471', 'Gaia DR2 2077811410082955776']",0.96 M_s,,,12.171,,12.513,12.107,,,,,557.134 pc,,293d05m38.3865s,42d53m47.1695s,System('Kepler-986'),[Planet('Kepler-986 b')],[],Cold Super-Earth,,,,,,,,,Kepler-986,Flags(),System('Kepler-986'),0.98 R_s,,,,,
2923,,5637.0 K,0.01,"['KOI-1866', 'KIC 9520838', '2MASS J19173865+4607510', 'Gaia DR2 2127688938307214592']",0.97 M_s,,,13.484,,13.776,13.375,,,,,938.703 pc,,289d24m39.801s,46d07m51.07s,System('Kepler-987'),[Planet('Kepler-987 b')],[],Cold Neptune,,,,,,,,,Kepler-987,Flags(),System('Kepler-987'),0.91 R_s,,,,,
2924,,4005.0 K,-0.32,"['KOI-1868', 'KIC 6773862', '2MASS J19225001+4214141', 'Gaia DR2 2101938650863923712']",0.55 M_s,,,,,,,,,,,307.569 pc,,290d42m30.1065s,42d14m14.0973s,System('Kepler-988'),[Planet('Kepler-988 b')],[],Cold Super-Earth,,,,,,,,,Kepler-988,Flags(),System('Kepler-988'),0.53 R_s,,,,,
2925,,5074.0 K,0.01,"['KOI-1870', 'KIC 10187159', '2MASS J18461989+4714010', 'Gaia DR2 2119584163218439040']",0.82 M_s,,,,,,,,,,,499.027 pc,,281d34m58.464s,47d14m01.067s,System('Kepler-989'),[Planet('Kepler-989 b')],[],Warm Super-Earth,,,,,,,,,Kepler-989,Flags(),System('Kepler-989'),0.78 R_s,,,,,
2926,,5539.0 K,0.18,"['KOI-299', 'KIC 2692377', '2MASS J19023879+3757522', 'Gaia DR2 2099862910348755712']",0.99 M_s,,,11.316,,11.672,11.253,,,,,437.2 pc,,285d39m41.9205s,37d57m52.1992s,System('Kepler-98'),[Planet('Kepler-98 b')],[],Warm Super-Earth,,,,,,,,,Kepler-98,Flags(),System('Kepler-98'),1.11 R_s,2.79 Gyr,,,,
2927,,5948.0 K,0.01,"['KOI-1875', 'KIC 9967771', '2MASS J19514517+4652530', 'Gaia DR2 2086302805244921984']",1.05 M_s,,,,,13.362,,,,,,820.951 pc,,297d56m17.6355s,46d52m53.0218s,System('Kepler-990'),"[Planet('Kepler-990 b'), Planet('Kepler-990 c')]",[],Warm Super-Earth,Hot Super-Earth,,,,,,,,Kepler-990,Flags(),System('Kepler-990'),1.08 R_s,,,,,
2928,,4392.0 K,-0.25,"['KOI-1876', 'KIC 11622600', '2MASS J19482175+4937356', 'Gaia DR2 2087215262455233664']",0.64 M_s,,,12.72,,13.329,12.611,,,,,393.949 pc,,297d05m26.337s,49d37m35.6026s,System('Kepler-991'),[Planet('Kepler-991 b')],[],Cold Super-Earth,,,,,,,,,Kepler-991,Flags(),System('Kepler-991'),0.61 R_s,,,,,
2929,,4944.0 K,-0.04,"['KOI-1877', 'KIC 10454632', '2MASS J18574326+4738304', 'Gaia DR2 2131432706679279104']",0.8 M_s,,,11.381,,11.899,11.274,,,,,261.602 pc,,284d25m49.074s,47d38m30.2595s,System('Kepler-992'),[Planet('Kepler-992 b')],[],Cold Super-Earth,,,,,,,,,Kepler-992,Flags(),System('Kepler-992'),0.74 R_s,,,,,
2930,,3843.0 K,0.03,"['KOI-1879', 'KIC 8367644', '2MASS J19302738+4423407', 'Gaia DR2 2126373303927596160']",0.57 M_s,,,12.893,,13.587,12.729,,,,,327.397 pc,,292d36m50.7375s,44d23m40.7223s,System('Kepler-993'),[Planet('Kepler-993 b')],[],Cold Super-Earth,,,,,,,,,Kepler-993,Flags(),System('Kepler-993'),0.54 R_s,,,,,
2931,,3934.0 K,-0.13,"['KOI-1880', 'KIC 10332883', '2MASS J19161733+4724254', 'Gaia DR2 2127904992341848960']",0.56 M_s,,,11.611,,12.264,11.453,,,,,189.186 pc,,289d04m19.881s,47d24m25.3965s,System('Kepler-994'),[Planet('Kepler-994 b')],[],Warm Super-Earth,,,,,,,,,Kepler-994,Flags(),System('Kepler-994'),0.54 R_s,,,,,
2932,,5206.0 K,-0.07,"['KOI-1881', 'KIC 4035640', '2MASS J18582777+3907517', 'Gaia DR2 2100214788429438336']",0.83 M_s,,,13.066,,13.566,13.021,,,,,620.424 pc,,284d36m56.556s,39d07m51.6753s,System('Kepler-995'),[Planet('Kepler-995 b')],[],Cold Super-Earth,,,,,,,,,Kepler-995,Flags(),System('Kepler-995'),0.8 R_s,,,,,
2933,,6014.0 K,0.03,"['KOI-1882', 'KIC 6205228', '2MASS J19273906+4132009', 'Gaia DR2 2101649891623535104']",1.09 M_s,,,13.246,,13.55,13.171,,,,,1260.4 pc,,291d54m46.0335s,41d32m01.0161s,System('Kepler-996'),[Planet('Kepler-996 b')],[],Warm Super-Earth,,,,,,,,,Kepler-996,Flags(),System('Kepler-996'),1.14 R_s,,,,,
2934,,6150.0 K,0.05,"['KOI-1883', 'KIC 11758544', '2MASS J19165600+4956201', 'Gaia DR2 2132709613336959744', 'TYC 3550-1227-1']",1.22 M_s,,12.79,10.66,,10.929,10.608,11.52,,,,473.889 pc,,289d14m00.2385s,49d56m20.2253s,System('Kepler-997'),[Planet('Kepler-997 b')],[],Warm Super-Earth,,,,,,,,,Kepler-997,Flags(),System('Kepler-997'),1.56 R_s,,,,,
2935,,6058.0 K,0.07,"['KOI-1885', 'KIC 11413812', '2MASS J19470099+4912314', 'Gaia DR2 2086838576644246144']",1.12 M_s,,,,,,,,,,,1015.13 pc,,296d45m14.9415s,49d12m31.3713s,System('Kepler-998'),[Planet('Kepler-998 b')],[],Warm Super-Earth,,,,,,,,,Kepler-998,Flags(),System('Kepler-998'),1.18 R_s,,,,,
2936,,6237.0 K,0.05,"['KOI-1886', 'KIC 9549648', '2MASS J19583851+4611543', 'Gaia DR2 2085286890863482752']",1.29 M_s,,,,,,,,,,,553.618 pc,,299d39m37.728s,46d11m54.354s,System('Kepler-999'),[Planet('Kepler-999 b')],[],Warm Super-Earth,,,,,,,,,Kepler-999,Flags(),System('Kepler-999'),1.65 R_s,,,,,
2937,,4782.0 K,0.18,"['KOI-305', 'KIC 6063220', '2MASS J19492496+4118001', 'Gaia DR2 2076871091425583232']",0.79 M_s,,,10.852,,11.368,10.757,,,,,221.3 pc,,297d21m14.3685s,41d18m00.2128s,System('Kepler-99'),[Planet('Kepler-99 b')],[],Warm Super-Earth,,,,,,,,,Kepler-99,Flags(),System('Kepler-99'),0.73 R_s,1.47 Gyr,,,,
2938,G2,5777.0 K,0.12,"['KOI-377', 'KIC 3323887', '2MASS J19021775+3824032', 'Gaia DR2 2099925719951103872']",1.07 M_s,,,12.391,,12.71,12.337,13.9,,,,650.0 pc,,285d34m26.316s,38d24m03.1772s,System('Kepler-9'),"[Planet('Kepler-9 b'), Planet('Kepler-9 c'), Planet('Kepler-9 d')]",[],Cold Jupiter,Cold Jupiter,Warm Super-Earth,,,,,,,Kepler-9,Flags(),System('Kepler-9'),1.02 R_s,,,,,
2939,sdB,27500.0 K,,"['Kepler-429', '2MASS J19093340+4659041', 'Gaia DR2 2130473176626619136']",0.47 M_s,,,,,16.363,,,,,,,,287d23m21.201s,46d59m04.1077s,System('KIC 10001893'),"[Planet('KIC 10001893 b'), Planet('KIC 10001893 c'), Planet('KIC 10001893 d')]",[],,,,,,,,,,KIC 10001893,Flags(timated magV'),System('KIC 10001893'),0.24 R_s,,,,,
2940,,6616.0 K,0.07,[],1.07 M_s,,,,,,,,,,,,,296d48m15s,46d56m04s,System('KIC 10024862'),[Planet('KIC 10024862 b')],[],Cold Neptune,,,,,,,,,KIC 10024862,Flags(timated magV'),System('KIC 10024862'),1.11 R_s,,,,,
2941,,6091.0 K,-0.04,"['KOI-5800', 'Kepler-459', '2MASS J19093073+4746162', 'Gaia DR2 2131059594280288128']",1.01 M_s,,,13.869,,14.143,13.754,,,,,1525.32 pc,,287d22m41.1195s,47d46m16.1536s,System('KIC 10525077'),"[Planet('KIC 10525077 b'), Planet('KOI-5800.01')]",[],Cold Neptune,Warm Super-Earth,,,,,,,,KIC 10525077,Flags(),System('KIC 10525077'),1.01 R_s,,,,,
2942,,,-0.23,"['KOI-1725', 'Kepler-1651', '2MASS J18543080+4823277', 'Gaia DR2 2131725447350716032']",0.578 M_s,,,,,10.65,,13.0,,,,66.5 pc,,283d37m41.988s,48d23m27.6636s,System('KIC 10905746'),[Planet('KIC 10905746 b')],[],Cold Super-Earth,,,,,,,,,KIC 10905746,Flags(lculated Temperature'),System('KIC 10905746'),0.548 R_s,,,,,
2943,,4550.0 K,-0.18,"['KOI-3794', 'Kepler-1520', '2MASS J19235189+5130170', 'Gaia DR2 2136216647412563840']",0.666 M_s,,,13.433,,14.021,13.319,,,,,618.544 pc,,290d57m58.3485s,51d30m16.9835s,System('KIC 12557548'),[Planet('KIC 12557548 b')],[],Warm Jupiter,,,,,,,,,KIC 12557548,Flags(),System('KIC 12557548'),0.66 R_s,,,,,
2944,,6175.0 K,-0.42,"['KOI-4307', 'Kepler-455', '2MASS J19394796+3836186', 'Gaia DR2 2052136821446989568']",0.98 M_s,,,12.819,,13.093,12.767,,,,,1258.81 pc,,294d56m59.451s,38d36m18.6271s,System('KIC 3558849'),"[Planet('KIC 3558849 b'), Planet('KOI-4307.01')]",[],Cold Jupiter,Cold Super-Earth,,,,,,,,KIC 3558849,Flags(),System('KIC 3558849'),1.005 R_s,,,,,
2945,F7V/M,,,[],,,,,,,,,,,,,,290d33m00s,40d14m06s,System('KIC 5095269(AB)'),[Planet('KIC 5095269(AB) b')],[],,,,,,,,,,KIC 5095269(AB),"Flags(lculated Temperature', 'Estimated magV')",System('KIC 5095269(AB)'),,,,,,
2946,,6340.0 K,-0.38,"['KOI-3791', 'Kepler-460', '2MASS J19135396+4039048', 'Gaia DR2 2102070660978313472']",1.07 M_s,,,12.43,,12.667,12.367,,,,,1322.4 pc,,288d28m29.4795s,40d39m04.8191s,System('KIC 5437945'),"[Planet('KIC 5437945 b'), Planet('KOI-3791.02')]",[],Cold Jupiter,Cold Neptune,,,,,,,,KIC 5437945,Flags(),System('KIC 5437945'),1.24 R_s,,,,,
2947,,6258.0 K,-0.5,"['Kepler-456', '2MASS J19155797+4113229', 'Gaia DR2 2102202464934586752']",0.98 M_s,,,11.382,,11.64,11.324,,,,,758.783 pc,,288d59m29.6865s,41d13m22.9093s,System('KIC 5951458'),[Planet('KIC 5951458 b')],[],Cold Jupiter,,,,,,,,,KIC 5951458,Flags(),System('KIC 5951458'),1.52 R_s,,,,,
2948,,5612.0 K,-0.07,"['Kepler-943', 'KOI-1727', '2MASS J18570575+4132060', 'Gaia DR2 2103725219818080640']",0.93 M_s,,17.0,14.1,,14.467,13.97,15.64,,,,2472.8 pc,,284d16m26.2275s,41d32m06.0871s,System('KIC 6185331'),[Planet('KIC 6185331 b')],[],Cold Neptune,,,,,,,,,KIC 6185331,Flags(),System('KIC 6185331'),0.91 R_s,,,,,
2949,G2V,5800.0 K,0.0,"['KOI-6837 Aa', 'TYC 3127-167-1 Aa']",1.043 M_s,,,,,,,12.9,,,,406.0 pc,,,,Binary('KIC 7177553 A'),[],[],,,,,,,,,,KIC 7177553 Aa,Flags(),System('KIC 7177553'),0.94 R_s,0.036 Gyr,,,,
2950,G2V,5740.0 K,-0.1,"['KOI-6837 Ab', 'KOI-6837.01', 'TYC 3127-167-1 Ab']",0.986 M_s,,,,,,,13.2,,,,406.0 pc,,,,Binary('KIC 7177553 A'),[],[],,,,,,,,,,KIC 7177553 Ab,Flags(),System('KIC 7177553'),0.941 R_s,0.036 Gyr,,,,
2951,G2V,5600.0 K,-0.12,"['KOI-6837 Ba', 'TYC 3127-167-1 Ba']",1.04 M_s,,,,,,,13.1,,,,406.0 pc,,,,Binary('KIC 7177553 B'),[],[],,,,,,,,,,KIC 7177553 Ba,Flags(),System('KIC 7177553'),,,,,,
2952,G2V,5600.0 K,-0.12,"['KOI-6837 Bb', 'TYC 3127-167-1 Bb']",1.0 M_s,,,,,,,13.2,,,,406.0 pc,,,,Binary('KIC 7177553 B'),[],[],,,,,,,,,,KIC 7177553 Bb,Flags(),System('KIC 7177553'),,,,,,
2953,A,7067.0 K,-0.02,"['Kepler-1648', '2MASS J19574430+4337574', 'Gaia DR2 2075978592919858432']",1.63 M_s,,,,,,,,,,,1439.2631 pc,,299d26m04.542s,43d37m57.4786s,System('KIC 7917485'),[Planet('KIC 7917485 b')],[],None Jupiter,,,,,,,,,KIC 7917485,Flags(),System('KIC 7917485'),,,,,,
2954,,6221.0 K,0.2,['KOI-8151'],0.92 M_s,,,,,,,,,,,,,284d43m45s,43d51m51s,System('KIC 8012732'),[Planet('KIC 8012732 b')],[],Cold Jupiter,,,,,,,,,KIC 8012732,Flags(timated magV'),System('KIC 8012732'),1.22 R_s,,,,,
2955,G,5121.0 K,-0.08,"['KIC 8435766', '2MASS 19345800+4426539', 'TYC 3147-188-1', '2MASS J19345800+4426539', 'Gaia DR2 2078373642776670080']",0.83 M_s,,12.87,9.675,,10.184,9.586,11.72,,,,124.8 pc,,293d44m30.2085s,44d26m53.9573s,System('Kepler-78'),[Planet('Kepler-78 b')],[],Hot Super-Earth,,,,,,,,,Kepler-78,Flags(),System('Kepler-78'),0.74 R_s,0.625 Gyr,,,,
2956,,6474.0 K,-0.16,"['Kepler-457', '2MASS J18493060+4441405', 'Gaia DR2 2105414310196331264', 'KOI-7892']",1.035 M_s,,,13.014,,13.26,12.966,,,,,1106.32 pc,,282d22m39.081s,44d41m40.4949s,System('KIC 8540376'),"[Planet('KIC 8540376 b'), Planet('KIC 8540376 c')]",[],Warm Neptune,Cold Super-Earth,,,,,,,,KIC 8540376,Flags(),System('KIC 8540376'),1.26 R_s,,,,,
