,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
839,G4V,5727.0 K,-0.09,"['HIP 29432', 'TYC 143-1867-1', 'GJ 3387', 'BD+06 1155', '2MASS J06120056+0646592', 'SAO 113580', 'Gaia DR2 3319126988068404096']",1.015 M_s,7.632,7.496,5.385,,5.701,5.301,6.839,,,,24.36 pc,,93d00m08.5035s,6d46m59.0573s,System('HD 42618'),[Planet('HD 42618 b')],[],Cold Neptune,,,,,,,,,HD 42618,Flags(),System('HD 42618'),0.999 R_s,,9432.0,2618.0,,GJ 3387
840,G5 V,5597.0 K,-0.34,"['Gaia DR2 4708607629114652032', 'HIP 3497', 'GJ 9028', 'TYC 8847-598-1', 'GJ 31.5']",0.85 M_s,,7.193,5.101,,5.366,4.945,6.54,,,,21.9 pc,,11d09m49.0125s,-65d38m58.2824s,System('HD 4308'),[Planet('HD 4308 b')],[],Cold Neptune,,,,,,,,,HD 4308,Flags(),System('HD 4308'),0.92 R_s,,497.0,308.0,,GJ 9028
841,G5 D,5035.0 K,0.14,"['TYC 604-1102-1', 'HIP 3574', 'Gaia DR2 2557541493057378048']",1.72 M_s,,8.788,5.774,,6.159,5.595,7.83,,,,137.0 pc,,11d25m05.3625s,7d50m42.0722s,System('HD 4313'),[Planet('HD 4313 b')],[],Cold Jupiter,,,,,,,,,HD 4313,Flags(),System('HD 4313'),4.9 R_s,,574.0,313.0,,
842,G8V,5508.0 K,0.4,"['TYC 6517-2108-1', 'Gaia DR2 2896745747966986240', 'HIP 29550', 'Amadioha']",0.96 M_s,,9.79,7.328,,7.658,7.203,8.95,,,,54.9 pc,,93d23m54.924s,-29d53m50.1517s,System('HD 43197'),[Planet('HD 43197 b')],[],Cold Jupiter,,,,,,,,,HD 43197,Flags(),System('HD 43197'),1.0 R_s,,9550.0,3197.0,,
843,G0IV,6200.0 K,0.28,"['HIP 30057', 'Gaia DR2 959971546241168384', 'TYC 2930-2105-1']",1.38 M_s,,8.59,6.777,,6.976,6.7,8.03,,,,93.2 pc,,94d53m40.137s,41d05m32.3053s,System('HD 43691'),[Planet('HD 43691 b')],[],Cold Jupiter,,,,,,,,,HD 43691,Flags(),System('HD 43691'),,,57.0,3691.0,,
844,G2V,5752.0 K,0.03,"['TYC 5367-701-1', 'Gaia DR2 3001428566419966592', 'HIP 30114']",1.0 M_s,,8.36,6.215,,6.509,6.115,7.69,,,,50.43 pc,,95d03m34.848s,-10d43m30.0309s,System('HD 44219'),[Planet('HD 44219 b')],[],Cold Jupiter,,,,,,,,,HD 44219,Flags(),System('HD 44219'),1.32 R_s,,114.0,4219.0,,
845,G1.5V,5869.0 K,0.04,"['HIP 30503', 'GJ 3394', 'Gaia DR2 2898239468873596800', 'TYC 6518-2342-1']",1.03 M_s,,,4.962,,5.219,4.871,6.37,,,,21.88 pc,,96d10m58.1955s,-28d46m48.4162s,System('HD 45184'),"[Planet('HD 45184 b'), Planet('HD 45184 c')]",[],None Neptune,None Super-Earth,,,,,,,,HD 45184,Flags(),System('HD 45184'),,,503.0,5184.0,,GJ 3394
846,G5 IV,5754.0 K,0.29,"['TYC 2927-323-1', 'Lucilinburhuc', 'Gaia DR2 955758320761687680', 'HIP 30860']",1.02 M_s,,8.62,6.279,,6.587,6.224,7.88,,,,49.0 pc,,97d11m25.6665s,38d57m46.6628s,System('HD 45350'),[Planet('HD 45350 b')],[],Cold Jupiter,,,,,,,,,HD 45350,Flags(),System('HD 45350'),1.27 R_s,,860.0,5350.0,,
847,K0V,5434.0 K,-0.17,"['HIP 30579', 'Gaia DR2 2893174259322992256', 'TYC 7073-2172-1']",0.82 M_s,,8.82,6.38,,6.748,6.316,8.08,,,,32.6 pc,,96d24m37.116s,-31d28m51.4284s,System('HD 45364'),"[Planet('HD 45364 b'), Planet('HD 45364 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 45364,Flags(),System('HD 45364'),,,579.0,5364.0,,
848,G8-K0,5312.0 K,0.29,"['TYC 736-601-1', 'Gaia DR2 3327980255695313792', 'HIP 30905', 'Lusitania']",0.83 M_s,,8.96,6.316,7.2,6.703,6.263,8.1,,,,36.0 pc,,97d18m17.877s,10d56m02.006s,System('HD 45652'),[Planet('HD 45652 b')],[],Cold Jupiter,,,,,,,,,HD 45652,Flags(),System('HD 45652'),,,905.0,5652.0,,
849,K1 IV,5199.0 K,0.24,[],0.91 M_s,,8.7,6.07,,6.45,6.0,7.94,,,,33.4 pc,,,,Binary('HD 46375'),[Planet('HD 46375 A b')],[],Warm Jupiter,,,,,,,,,HD 46375 A,Flags(),System('HD 46375'),1.0 R_s,,,6375.0,,
850,K9.5-M1.5,,,[],0.58 M_s,,,,,,,,,,,33.4 pc,,,,Binary('HD 46375'),[],[],,,,,,,,,,HD 46375 B,Flags(),System('HD 46375'),,,,6375.0,,
851,G5V,5675.0 K,0.23,"['TYC 6516-711-1', 'Gaia DR2 2919760965879179136', 'HIP 31540']",0.99 M_s,,8.36,6.1,,6.416,6.005,7.8,,,,37.84 pc,,99d02m11.8185s,-27d37m20.2668s,System('HD 47186'),"[Planet('HD 47186 b'), Planet('HD 47186 c')]",[],Warm Jupiter,Cold Jupiter,,,,,,,,HD 47186,Flags(),System('HD 47186'),,,1540.0,7186.0,,
852,K0 IV,4959.0 K,0.01,"['Gaia DR2 2345744256120965504', 'TYC 6421-1078-1', 'HIP 3834']",1.74 M_s,,6.84,3.717,,4.338,3.691,2.04,,,,56.5 pc,,12d18m29.256s,-24d08m11.9929s,System('HD 4732'),"[Planet('HD 4732 b'), Planet('HD 4732 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 4732,Flags(),System('HD 4732'),5.4 R_s,,834.0,732.0,,
